detector,descriptor,img_id,pts,pts_on_car,matches,detection_time,description_time,total_time,match_dist
SHITOMASI,BRISK,0001,1301,118,125,18.1535,5.24288,23.3964,73.648
SHITOMASI,BRISK,0002,1361,123,118,16.9738,0.458752,17.4326,70.8729
SHITOMASI,BRISK,0003,1358,120,123,17.1704,0.393216,17.5636,79.5122
SHITOMASI,BRISK,0004,1333,120,120,16.9083,0.393216,17.3015,73.7
SHITOMASI,BRISK,0005,1284,113,120,17.0394,0.32768,17.367,74.5833
SHITOMASI,BRISK,0006,1322,114,113,17.1049,0.32768,17.4326,78.2301
SHITOMASI,BRISK,0007,1366,123,114,16.6461,0.32768,16.9738,68.1228
SHITOMASI,BRISK,0008,1389,111,123,16.8428,0.32768,17.1704,75.2683
SHITOMASI,BRISK,0009,1339,112,111,16.5806,0.32768,16.9083,70.3063
SHITOMASI,BRIEF,0001,1301,118,125,16.9083,0.393216,17.3015,17.136
SHITOMASI,BRIEF,0002,1361,123,118,15.8597,0.32768,16.1874,14.2119
SHITOMASI,BRIEF,0003,1358,120,123,15.8597,0.32768,16.1874,18.3577
SHITOMASI,BRIEF,0004,1333,120,120,15.7286,0.32768,16.0563,16.9
SHITOMASI,BRIEF,0005,1284,113,120,16.9083,0.32768,17.236,17.0167
SHITOMASI,BRIEF,0006,1322,114,113,16.1219,0.262144,16.384,16.7168
SHITOMASI,BRIEF,0007,1366,123,114,17.0394,0.262144,17.3015,14.9649
SHITOMASI,BRIEF,0008,1389,111,123,16.4495,0.32768,16.7772,17.5447
SHITOMASI,BRIEF,0009,1339,112,111,16.6461,0.262144,16.9083,16.1532
SHITOMASI,ORB,0001,1301,118,125,17.3015,0.262144,17.5636,23.336
SHITOMASI,ORB,0002,1361,123,118,16.5806,0.393216,16.9738,20.7542
SHITOMASI,ORB,0003,1358,120,123,16.5151,0.32768,16.8428,23.7967
SHITOMASI,ORB,0004,1333,120,120,15.9908,0.32768,16.3185,21.2917
SHITOMASI,ORB,0005,1284,113,120,17.3015,0.393216,17.6947,22.2333
SHITOMASI,ORB,0006,1322,114,113,15.9908,0.32768,16.3185,21.2389
SHITOMASI,ORB,0007,1366,123,114,15.8597,0.32768,16.1874,20.5
SHITOMASI,ORB,0008,1389,111,123,16.8428,0.32768,17.1704,22.7154
SHITOMASI,ORB,0009,1339,112,111,15.7942,0.32768,16.1219,21.7748
SHITOMASI,FREAK,0001,1301,118,125,15.9908,0.393216,16.384,62.664
SHITOMASI,FREAK,0002,1361,123,118,11.5999,0.32768,11.9276,56.7119
SHITOMASI,FREAK,0003,1358,120,123,12.2552,0.32768,12.5829,63.3089
SHITOMASI,FREAK,0004,1333,120,120,11.6654,0.393216,12.0586,60.4417
